,OBJECTID_1,X,Y,Cluster
279,35199,-79.0477980000014,35.9351659996005,No Cluster
280,35240,-79.02546099961691,35.9354229995571,Second
281,35252,-79.054302999734,35.9615760001871,Third
282,35450,-79.02207800034,35.9351190000805,Second
283,35847,-79.0259730001805,35.9355660001196,Second
284,35929,-79.0319960004255,35.9323360004237,Second
285,36204,-79.0301740002923,35.9275219997211,Second
286,36454,-79.0481539998541,35.9095089999621,First
287,36455,-79.0441159995108,35.9009829995797,First
288,36509,-79.0546459997275,35.9081109996669,First
289,36620,-79.05662900029209,35.937283999586,No Cluster
290,36860,-79.0593279996509,35.9666129996314,Third
291,36929,-79.04887199971141,35.9028539996017,First
292,36930,-79.0442430002383,35.9037639995841,First
293,36931,-79.05455100024321,35.9081979999591,First
294,36932,-79.0477749997928,35.913210999857995,First
